lead_in_multiplier	Lead in multiplier	C2M18	int	1
dwell_time	Dwell time [ms]	C2M18	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C2M18	string	H2O
subscribe	Whether to send events out on the web API for this channel	C2M18	bool	true
color	color	C2M18	int	12369186
mass	Measurement mass	C3M28	double	28.0
lead_in_multiplier	Lead in multiplier	C3M28	int	4
dwell_time	Dwell time [ms]	C3M28	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C3M28	string	CO/N2
subscribe	Whether to send events out on the web API for this channel	C3M28	bool	true
color	color	C3M28	int	8355711
mass	Measurement mass	C4M32	double	32.0
lead_in_multiplier	Lead in multiplier	C4M32	int	1
dwell_time	Dwell time [ms]	C4M32	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C4M32	string	O2
subscribe	Whether to send events out on the web API for this channel	C4M32	bool	true
color	color	C4M32	int	0
mass	Measurement mass	C5M40	double	40.0
lead_in_multiplier	Lead in multiplier	C5M40	int	1
dwell_time	Dwell time [ms]	C5M40	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C5M40	string	Ar
subscribe	Whether to send events out on the web API for this channel	C5M40	bool	true
color	color	C5M40	int	1556175
mass	Measurement mass	C6M44	double	44.0
lead_in_multiplier	Lead in multiplier	C6M44	int	1
dwell_time	Dwell time [ms]	C6M44	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C6M44	string	CO2
subscribe	Whether to send events out on the web API for this channel	C6M44	bool	true
color	color	C6M44	int	14034728
data_dir	Data directory		string	C:\Users\Spectro Inlets\Spectro Inlets Dropbox\03 LGA\In-line MS\Chip testing on EC-MS setup
project_name	Project name		string	failing_datasets
measurement_name	Measurement name		string	ec-included
comment	Comment		string	Normal EC-MS chip
ms_scan_interval	Mass spec scan interval [ms]		int	0
ms_lead_in_base	Mass spec lead in base [ms]		int	32
start_time_unix	Start time as UNIX time stamp		double	1705501321.146614
start_timestamp	Start time in ISO 8601 format		string	2024-01-17 15:22:01.146614
offset	The offset (time - EC-Lab time)	pot_01	double	4.877258e+00
offset_meas_time	Offset measurement time [s]	pot_01	double	2.954054e-02
Iongauge value_count	Number of points in the "Iongauge value" data series	Iongauge value	int	69
Pirani1 value_count	Number of points in the "Pirani1 value" data series	Pirani1 value	int	69
Pirani2 value_count	Number of points in the "Pirani2 value" data series	Pirani2 value	int	69
Pirani3 value_count	Number of points in the "Pirani3 value" data series	Pirani3 value	int	69
MFC1 value_count	Number of points in the "MFC1 value" data series	MFC1 value	int	69
MFC1 setpoint_count	Number of points in the "MFC1 setpoint" data series	MFC1 setpoint	int	69
MFC2 value_count	Number of points in the "MFC2 value" data series	MFC2 value	int	69
MFC2 setpoint_count	Number of points in the "MFC2 setpoint" data series	MFC2 setpoint	int	69
PC value_count	Number of points in the "PC value" data series	PC value	int	69
PC setpoint_count	Number of points in the "PC setpoint" data series	PC setpoint	int	69
C0M2_count	Number of points in the "C0M2" data series	C0M2	int	48
C1M4_count	Number of points in the "C1M4" data series	C1M4	int	48
C2M18_count	Number of points in the "C2M18" data series	C2M18	int	48
C3M28_count	Number of points in the "C3M28" data series	C3M28	int	48
C4M32_count	Number of points in the "C4M32" data series	C4M32	int	48
C5M40_count	Number of points in the "C5M40" data series	C5M40	int	48
C6M44_count	Number of points in the "C6M44" data series	C6M44	int	48
pot_count	Number of points in the "pot" data series	pot	int	136
EC-lab_count	Number of points in the "EC-lab" data series	EC-lab	int	447
pot				Iongauge value		MFC1 setpoint		MFC1 value		MFC2 setpoint		MFC2 value		PC setpoint		PC value		Pirani1 value		Pirani2 value		Pirani3 value		C0M2		C1M4		C2M18		C3M28		C4M32		C5M40		C6M44		EC-lab															
Time [s]	Voltage [V]	Current [mA]	Cycle [n]	Time [s]	Pressure [mbar]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	M2-H2 [A]	Time [s]	M4-He [A]	Time [s]	M18-H2O [A]	Time [s]	M28-CO/N2 [A]	Time [s]	M32-O2 [A]	Time [s]	M40-Ar [A]	Time [s]	M44-CO2 [A]	time/s	experiment_number	technique_number	Ewe/V	<I>/mA	cycle number	control changes	error	mode	(Q-Qo)/C	Ns	ox/red	I Range	control/V	P/W	counter inc.
5.474458e+00	1.183664e-02	2.384803e-03	1	4.758823e-01	4.220000e-06	6.961777e-01	0.000000e+00	6.961777e-01	-2.900000e-02	7.434957e-01	0.000000e+00	7.434957e-01	-2.000000e-02	7.900896e-01	1.040000e+03	7.900896e-01	9.921451e+02	5.227582e-01	1.580000e-03	5.857959e-01	3.810000e-02	6.489861e-01	1.250000e-03	7.038493e-01	2.774458e-12	7.788834e-01	2.956489e-15	8.529170e-01	1.199307e-11	1.035000e+00	4.628696e-10	1.109033e+00	1.014512e-10	1.184068e+00	6.978635e-12	1.258101e+00	4.764807e-13	4.877257615327835	1.0	1.0	-0.00017848902	-1.088311728381086e-05	1.0	1.0	0.0	2.0	0.0	0.0	0.0	44.0	-0.00020176152	1.9425169e-12	0.0
5.644258e+00	1.527500e-02	3.056354e-03	1	9.758384e-01	4.220000e-06	1.166752e+00	0.000000e+00	1.166752e+00	-2.900000e-02	1.213370e+00	0.000000e+00	1.213370e+00	-2.000000e-02	1.260696e+00	1.040000e+03	1.260696e+00	9.921317e+02	1.023934e+00	1.580000e-03	1.071862e+00	3.810000e-02	1.119120e+00	1.250000e-03	1.373781e+00	2.779330e-12	1.448792e+00	6.986225e-15	1.522804e+00	1.202702e-11	1.704831e+00	4.627981e-10	1.778842e+00	1.005447e-10	1.853853e+00	6.914269e-12	1.927864e+00	4.855972e-13	4.904757614633127	1.0	1.0	0.00042555731	0.0001266906171782396	1.0	1.0	0.0	2.0	3.3056611e-09	0.0	1.0	44.0	0.00034836985	5.391412e-11	0.0
5.799658e+00	1.840390e-02	3.660235e-03	1	1.448760e+00	4.220000e-06	1.652181e+00	0.000000e+00	1.652181e+00	-2.900000e-02	1.698706e+00	0.000000e+00	1.698706e+00	-2.000000e-02	1.745272e+00	1.040000e+03	1.745272e+00	9.921451e+02	1.496633e+00	1.580000e-03	1.558825e+00	3.810000e-02	1.605589e+00	1.250000e-03	2.043545e+00	2.764475e-12	2.117543e+00	6.929524e-16	2.192541e+00	1.198051e-11	2.373536e+00	4.624759e-10	2.448534e+00	1.004283e-10	2.522532e+00	6.944303e-12	2.597530e+00	4.907650e-13	4.95475761337002	1.0	1.0	0.0014014549	0.0003240711851133352	1.0	1.0	0.0	2.0	1.5205945e-08	0.0	1.0	43.0	0.001347441	4.5417115e-10	0.0
5.944058e+00	2.123863e-02	4.237070e-03	1	1.933516e+00	4.220000e-06	2.122166e+00	0.000000e+00	2.122166e+00	-2.900000e-02	2.170086e+00	0.000000e+00	2.170086e+00	-2.000000e-02	2.201762e+00	1.040000e+03	2.201762e+00	9.921051e+02	1.979588e+00	1.580000e-03	2.042066e+00	3.810000e-02	2.090137e+00	1.250000e-03	2.713526e+00	2.778634e-12	2.787524e+00	1.024241e-14	2.862522e+00	1.196152e-11	3.043517e+00	4.646921e-10	3.118515e+00	1.004751e-10	3.192513e+00	6.938860e-12	3.267511e+00	4.893395e-13	5.004757612106914	1.0	1.0	0.0023981524	0.0005209703427950709	1.0	1.0	0.0	2.0	3.6940385e-08	0.0	1.0	43.0	0.0023469264	1.2493663e-09	0.0
6.111658e+00	2.453945e-02	4.869522e-03	1	2.390889e+00	4.220000e-06	2.596819e+00	0.000000e+00	2.596819e+00	-2.900000e-02	2.643638e+00	0.000000e+00	2.643638e+00	-2.000000e-02	2.689983e+00	1.040000e+03	2.689983e+00	9.921184e+02	2.439180e+00	1.580000e-03	2.486618e+00	3.820000e-02	2.549963e+00	1.250000e-03	3.382503e+00	2.773162e-12	3.457501e+00	3.102288e-15	3.531499e+00	1.194894e-11	3.713493e+00	4.652375e-10	3.788491e+00	1.006104e-10	3.862489e+00	6.968980e-12	3.937487e+00	4.768858e-13	5.054757610843808	1.0	1.0	0.0034118295	0.0007173309866091038	1.0	1.0	0.0	2.0	6.8514225e-08	0.0	1.0	43.0	0.0033464117	2.4474109e-09	0.0
6.282458e+00	2.802747e-02	5.585436e-03	1	2.878730e+00	4.220000e-06	3.065895e+00	0.000000e+00	3.065895e+00	-2.900000e-02	3.097915e+00	0.000000e+00	3.097915e+00	-2.000000e-02	3.130085e+00	1.040000e+03	3.130085e+00	9.921184e+02	2.925778e+00	1.580000e-03	2.972195e+00	3.820000e-02	3.019820e+00	1.250000e-03	4.051962e+00	2.759433e-12	4.126950e+00	4.292984e-16	4.200938e+00	1.202559e-11	4.382908e+00	4.657588e-10	4.456896e+00	1.008834e-10	4.531884e+00	6.967351e-12	4.605872e+00	4.879908e-13	5.104757609580702	1.0	1.0	0.004413621	0.0009140561854076596	1.0	1.0	0.0	2.0	1.0991153e-07	0.0	1.0	43.0	0.0043458971	4.0342978e-09	0.0
6.437658e+00	3.111816e-02	6.192178e-03	1	3.334638e+00	4.220000e-06	3.536869e+00	0.000000e+00	3.536869e+00	-2.900000e-02	3.583081e+00	0.000000e+00	3.583081e+00	-2.000000e-02	3.629956e+00	1.040000e+03	3.629956e+00	9.921184e+02	3.398009e+00	1.580000e-03	3.444306e+00	3.820000e-02	3.491988e+00	1.250000e-03	4.721853e+00	2.780971e-12	4.796841e+00	1.311385e-14	4.870828e+00	1.198655e-11	5.052799e+00	4.641130e-10	5.126787e+00	1.004999e-10	5.201775e+00	6.894022e-12	5.275762e+00	4.969413e-13	5.169757607938664	1.0	1.0	0.0057089878	0.00116785173553526	1.0	1.0	0.0	2.0	1.7946718e-07	0.0	1.0	43.0	0.005645229	6.6672512e-09	0.0
6.595458e+00	3.425470e-02	6.774468e-03	1	3.832664e+00	4.220000e-06	4.068035e+00	0.000000e+00	4.068035e+00	-2.900000e-02	4.114428e+00	0.000000e+00	4.114428e+00	-2.000000e-02	4.160616e+00	1.040000e+03	4.160616e+00	9.921317e+02	3.895221e+00	1.580000e-03	3.958161e+00	3.820000e-02	4.020612e+00	1.250000e-03	5.392573e+00	2.764451e-12	5.466573e+00	3.900136e-15	5.541572e+00	1.194923e-11	5.722571e+00	4.654746e-10	5.797571e+00	1.006307e-10	5.871571e+00	6.942545e-12	5.946570e+00	4.808588e-13	5.234657606299152	1.0	1.0	0.0070039402	0.001418176852199332	1.0	1.0	0.0	2.0	2.6194917e-07	0.0	1.0	42.0	0.0069432207	9.9328261e-09	0.0
6.750658e+00	3.735304e-02	7.383155e-03	1	4.365761e+00	4.220000e-06	4.553453e+00	0.000000e+00	4.553453e+00	-2.900000e-02	4.599647e+00	0.000000e+00	4.599647e+00	-2.000000e-02	4.646535e+00	1.040000e+03	4.646535e+00	9.921451e+02	4.412753e+00	1.580000e-03	4.458832e+00	3.820000e-02	4.506334e+00	1.250000e-03	6.062077e+00	2.767420e-12	6.136070e+00	3.482987e-15	6.211064e+00	1.189962e-11	6.392048e+00	4.646348e-10	6.467041e+00	1.009171e-10	6.541035e+00	6.961811e-12	6.616028e+00	4.974839e-13	5.284557605038572	1.0	1.0	0.0080016041	0.001613635736349459	1.0	1.0	0.0	2.0	3.3859934e-07	0.0	1.0	42.0	0.0079440447	1.2911674e-08	0.0
6.905858e+00	4.042846e-02	7.990048e-03	1	4.835643e+00	4.220000e-06	5.023553e+00	0.000000e+00	5.023553e+00	-2.900000e-02	5.071375e+00	0.000000e+00	5.071375e+00	-2.000000e-02	5.116734e+00	1.040000e+03	5.116734e+00	9.921451e+02	4.882037e+00	1.580000e-03	4.928211e+00	3.820000e-02	4.975854e+00	1.250000e-03	6.731018e+00	2.762009e-12	6.806011e+00	2.786390e-15	6.880005e+00	1.192533e-11	7.061989e+00	4.658395e-10	7.136982e+00	1.009611e-10	7.210976e+00	6.979162e-12	7.285969e+00	4.842162e-13	5.334557603775465	1.0	1.0	0.0090023354	0.001810763874446925	1.0	1.0	0.0	2.0	4.2524633e-07	0.0	1.0	42.0	0.0089435298	1.6301104e-08	0.0
7.077657e+00	4.393940e-02	8.706344e-03	1	5.319920e+00	4.220000e-06	5.539286e+00	0.000000e+00	5.539286e+00	-2.900000e-02	5.586486e+00	0.000000e+00	5.586486e+00	-2.000000e-02	5.634011e+00	1.040000e+03	5.634011e+00	9.921451e+02	5.382234e+00	1.580000e-03	5.445579e+00	3.820000e-02	5.491922e+00	1.250000e-03	7.401397e+00	2.767565e-12	7.476395e+00	2.672989e-15	7.550393e+00	1.195045e-11	7.732388e+00	4.674033e-10	7.806386e+00	1.004248e-10	7.881384e+00	6.942355e-12	7.955382e+00	4.830984e-13	5.384557602512359	1.0	1.0	0.010007097	0.002007077656108533	1.0	1.0	0.0	2.0	5.2171492e-07	0.0	1.0	42.0	0.0099430149	2.0085022e-08	0.0
7.232258e+00	4.705684e-02	9.318235e-03	1	5.821379e+00	4.220000e-06	6.009072e+00	0.000000e+00	6.009072e+00	-2.900000e-02	6.055789e+00	0.000000e+00	6.055789e+00	-2.000000e-02	6.101679e+00	1.040000e+03	6.101679e+00	9.921184e+02	5.867956e+00	1.580000e-03	5.914729e+00	3.820000e-02	5.962980e+00	1.250000e-03	8.071814e+00	2.745801e-12	8.146816e+00	1.711524e-14	8.220818e+00	1.193703e-11	8.402823e+00	4.656319e-10	8.476825e+00	1.002951e-10	8.551827e+00	6.960572e-12	8.625829e+00	4.849695e-13	5.434557601249253	1.0	1.0	0.011016529	0.002205575053974625	1.0	1.0	0.0	2.0	6.2806203e-07	0.0	1.0	42.0	0.0109425	2.4297782e-08	0.0
7.388658e+00	5.013225e-02	9.916661e-03	1	6.288029e+00	4.220000e-06	6.476619e+00	0.000000e+00	6.476619e+00	-2.900000e-02	6.522495e+00	0.000000e+00	6.522495e+00	-2.000000e-02	6.570109e+00	1.040000e+03	6.570109e+00	9.920517e+02	6.335059e+00	1.580000e-03	6.382147e+00	3.830000e-02	6.428156e+00	1.250000e-03	8.741483e+00	2.757590e-12	8.815482e+00	6.127626e-15	8.890481e+00	1.192042e-11	9.071478e+00	4.611387e-10	9.146477e+00	1.011479e-10	9.220476e+00	6.973237e-12	9.295475e+00	4.757963e-13	5.484557599986147	1.0	1.0	0.012000493	0.002401649191462497	1.0	1.0	0.0	2.0	7.4424128e-07	0.0	1.0	42.0	0.011941987	2.8820974e-08	0.0
7.562858e+00	5.367758e-02	1.060549e-02	1	6.755689e+00	4.220000e-06	6.943197e+00	0.000000e+00	6.943197e+00	-2.900000e-02	6.990806e+00	0.000000e+00	6.990806e+00	-2.000000e-02	7.036800e+00	1.040000e+03	7.036800e+00	9.921317e+02	6.801868e+00	1.580000e-03	6.849339e+00	3.830000e-02	6.895572e+00	1.250000e-03	9.411474e+00	2.749276e-12	9.485473e+00	1.009256e-14	9.560472e+00	1.186902e-11	9.741469e+00	4.643291e-10	9.816468e+00	1.005654e-10	9.890467e+00	6.995151e-12	9.965466e+00	4.739617e-13	5.53455759872304	1.0	1.0	0.013002283	0.002598659907191721	1.0	1.0	0.0	2.0	8.7027144e-07	0.0	1.0	42.0	0.012941472	3.378851e-08	0.0
7.721858e+00	5.683322e-02	1.125337e-02	1	7.239015e+00	4.220000e-06	7.442272e+00	0.000000e+00	7.442272e+00	-2.900000e-02	7.489344e+00	0.000000e+00	7.489344e+00	-2.000000e-02	7.537320e+00	1.040000e+03	7.537320e+00	9.921184e+02	7.300518e+00	1.580000e-03	7.346930e+00	3.830000e-02	7.394403e+00	1.250000e-03	1.007989e+01	2.778735e-12	1.015489e+01	1.719624e-15	1.022888e+01	1.186455e-11	1.041087e+01	4.634119e-10	1.048586e+01	1.013170e-10	1.055986e+01	6.918274e-12	1.063485e+01	4.812435e-13	5.584557597459934	1.0	1.0	0.01400174	0.002794912423403871	1.0	1.0	0.0	2.0	1.0061192e-06	0.0	1.0	42.0	0.013940956	3.9133639e-08	0.0
7.876858e+00	5.994684e-02	1.185229e-02	1	7.727785e+00	4.220000e-06	7.913616e+00	0.000000e+00	7.913616e+00	-2.900000e-02	7.975845e+00	0.000000e+00	7.975845e+00	-1.900000e-02	8.022160e+00	1.040000e+03	8.022160e+00	9.921317e+02	7.773704e+00	1.580000e-03	7.820733e+00	3.830000e-02	7.867591e+00	1.250000e-03	1.075000e+01	2.752827e-12	1.082499e+01	4.151234e-15	1.089899e+01	1.185739e-11	1.108098e+01	4.612479e-10	1.115497e+01	1.002156e-10	1.122997e+01	6.977173e-12	1.130396e+01	4.821467e-13	5.634457596199354	1.0	1.0	0.015003275	0.002992105133113321	1.0	1.0	0.0	2.0	1.1515195e-06	0.0	1.0	42.0	0.014939997	4.4891376e-08	0.0
8.031858e+00	6.304136e-02	1.246266e-02	1	8.224347e+00	4.220000e-06	8.412952e+00	0.000000e+00	8.412952e+00	-2.900000e-02	8.459603e+00	0.000000e+00	8.459603e+00	-2.000000e-02	8.506531e+00	1.040000e+03	8.506531e+00	9.921451e+02	8.270965e+00	1.580000e-03	8.317973e+00	3.830000e-02	8.365371e+00	1.250000e-03	1.141996e+01	2.755930e-12	1.149495e+01	4.572433e-16	1.156895e+01	1.185401e-11	1.175094e+01	4.647621e-10	1.182494e+01	1.010576e-10	1.189993e+01	6.975139e-12	1.197393e+01	4.855730e-13	5.684357594938774	1.0	1.0	0.016000016	0.003189092743990909	1.0	1.0	0.0	2.0	1.3067512e-06	0.0	1.0	42.0	0.015939929	5.1025534e-08	0.0
8.187658e+00	6.615880e-02	1.307074e-02	1	8.692994e+00	4.220000e-06	8.882327e+00	0.000000e+00	8.882327e+00	-2.900000e-02	8.928873e+00	0.000000e+00	8.928873e+00	-2.000000e-02	8.974629e+00	1.040000e+03	8.974629e+00	9.921317e+02	8.740073e+00	1.580000e-03	8.788066e+00	3.830000e-02	8.835827e+00	1.250000e-03	1.209091e+01	2.729224e-12	1.216491e+01	5.301431e-15	1.223991e+01	1.182058e-11	1.242092e+01	4.636863e-10	1.249592e+01	1.011574e-10	1.256992e+01	6.980104e-12	1.264492e+01	4.722809e-13	5.734357593675668	1.0	1.0	0.016986951	0.003385202889115105	1.0	1.0	0.0	2.0	1.4721186e-06	0.0	1.0	42.0	0.016939413	5.7504277e-08	0.0
8.343257e+00	6.918837e-02	1.367767e-02	1	9.162376e+00	4.220000e-06	9.351417e+00	0.000000e+00	9.351417e+00	-2.900000e-02	9.397778e+00	0.000000e+00	9.397778e+00	-2.000000e-02	9.444202e+00	1.040000e+03	9.444202e+00	9.920251e+02	9.209541e+00	1.580000e-03	9.256902e+00	3.830000e-02	9.304061e+00	1.250000e-03	1.275981e+01	2.768708e-12	1.283380e+01	2.470490e-15	1.290880e+01	1.183993e-11	1.308979e+01	4.673191e-10	1.316478e+01	1.008023e-10	1.323878e+01	6.933809e-12	1.331377e+01	4.837059e-13	5.784357592412562	1.0	1.0	0.018000839	0.003582133574700164	1.0	1.0	0.0	2.0	1.6473304e-06	0.0	1.0	42.0	0.017938901	6.4481412e-08	0.0
8.501257e+00	7.244717e-02	1.431591e-02	1	9.647754e+00	4.220000e-06	9.835809e+00	0.000000e+00	9.835809e+00	-2.900000e-02	9.882052e+00	0.000000e+00	9.882052e+00	-2.000000e-02	9.927749e+00	1.040000e+03	9.927749e+00	9.919717e+02	9.695236e+00	1.580000e-03	9.742399e+00	3.840000e-02	9.789012e+00	1.250000e-03	1.342876e+01	2.762787e-12	1.350375e+01	2.413791e-16	1.357775e+01	1.184888e-11	1.375973e+01	4.638479e-10	1.383473e+01	1.009445e-10	1.390872e+01	6.931112e-12	1.398372e+01	4.849128e-13	5.834357591149455	1.0	1.0	0.018994568	0.003778943438966835	1.0	1.0	0.0	2.0	1.832407e-06	0.0	1.0	42.0	0.018938385	7.1779397e-08	0.0
8.656058e+00	7.551494e-02	1.493048e-02	1	1.013158e+01	4.220000e-06	1.032191e+01	0.000000e+00	1.032191e+01	-2.900000e-02	1.036934e+01	0.000000e+00	1.036934e+01	-2.000000e-02	1.041574e+01	1.040000e+03	1.041574e+01	9.921184e+02	1.017965e+01	1.580000e-03	1.022697e+01	3.840000e-02	1.027448e+01	1.250000e-03	1.409871e+01	2.759239e-12	1.417371e+01	9.606565e-15	1.424770e+01	1.181752e-11	1.442969e+01	4.624997e-10	1.450369e+01	1.008538e-10	1.457868e+01	6.992234e-12	1.465268e+01	4.853339e-13	5.884357589886349	1.0	1.0	0.020024374	0.003975846000011427	1.0	1.0	0.0	2.0	2.0272873e-06	0.0	1.0	42.0	0.019937869	7.9613827e-08	0.0
8.836858e+00	7.914049e-02	1.562597e-02	1	1.060197e+01	4.220000e-06	1.081858e+01	0.000000e+00	1.081858e+01	-2.900000e-02	1.086572e+01	0.000000e+00	1.086572e+01	-2.000000e-02	1.091238e+01	1.040000e+03	1.091238e+01	9.921184e+02	1.064808e+01	1.580000e-03	1.071082e+01	3.840000e-02	1.077220e+01	1.250000e-03	1.476963e+01	2.737774e-12	1.484463e+01	1.411015e-14	1.491863e+01	1.184775e-11	1.510063e+01	4.635736e-10	1.517463e+01	1.009479e-10	1.524963e+01	6.932376e-12	1.532363e+01	4.784328e-13	5.934357588623243	1.0	1.0	0.021024467	0.004172396453213864	1.0	1.0	0.0	2.0	2.2320173e-06	0.0	1.0	42.0	0.020937355	8.7722412e-08	0.0
8.984457e+00	8.197522e-02	1.617336e-02	1	1.109968e+01	4.220000e-06	1.130109e+01	0.000000e+00	1.130109e+01	-2.900000e-02	1.134748e+01	0.000000e+00	1.134748e+01	-2.000000e-02	1.139446e+01	1.040000e+03	1.139446e+01	9.921317e+02	1.114548e+01	1.580000e-03	1.119181e+01	3.840000e-02	1.125450e+01	1.250000e-03	1.543860e+01	2.765638e-12	1.551260e+01	5.086781e-15	1.558759e+01	1.180224e-11	1.576858e+01	4.628864e-10	1.584358e+01	1.011794e-10	1.591757e+01	6.890741e-12	1.599257e+01	4.857714e-13	5.984357587360137	1.0	1.0	0.022014376	0.00436964964858446	1.0	1.0	0.0	2.0	2.4465812e-06	0.0	1.0	42.0	0.021936839	9.6195109e-08	0.0
9.156458e+00	8.550908e-02	1.688336e-02	1	1.158095e+01	4.220000e-06	1.176850e+01	0.000000e+00	1.176850e+01	-2.900000e-02	1.181542e+01	0.000000e+00	1.181542e+01	-2.000000e-02	1.184741e+01	1.040000e+03	1.184741e+01	9.921184e+02	1.162783e+01	1.580000e-03	1.167465e+01	3.840000e-02	1.172164e+01	1.250000e-03	1.610856e+01	2.759020e-12	1.618255e+01	1.160726e-14	1.625755e+01	1.175510e-11	1.643854e+01	4.614194e-10	1.651353e+01	1.005050e-10	1.658753e+01	6.978327e-12	1.666252e+01	4.784572e-13	6.034257586099557	1.0	1.0	0.022996854	0.0045644953086031	1.0	1.0	0.0	2.0	2.6705034e-06	0.0	1.0	42.0	0.022936771	1.0496903e-07	0.0
9.330057e+00	8.889013e-02	1.753419e-02	1	1.203539e+01	4.220000e-06	1.225594e+01	0.000000e+00	1.225594e+01	-2.900000e-02	1.230304e+01	0.000000e+00	1.230304e+01	-2.000000e-02	1.234968e+01	1.040000e+03	1.234968e+01	9.921184e+02	1.209826e+01	1.580000e-03	1.216175e+01	3.840000e-02	1.220916e+01	1.250000e-03	1.677823e+01	2.758412e-12	1.685322e+01	1.752834e-14	1.692722e+01	1.179014e-11	1.710922e+01	4.667238e-10	1.718422e+01	1.009918e-10	1.725821e+01	6.979372e-12	1.733321e+01	4.788702e-13	6.084157584838977	1.0	1.0	0.024000978	0.004759555339222565	1.0	1.0	0.0	2.0	2.9041414e-06	0.0	1.0	42.0	0.023935813	1.1423398e-07	0.0
9.484658e+00	9.195027e-02	1.813579e-02	1	1.252076e+01	4.220000e-06	1.273708e+01	0.000000e+00	1.273708e+01	-2.900000e-02	1.278407e+01	0.000000e+00	1.278407e+01	-2.000000e-02	1.282990e+01	1.040000e+03	1.282990e+01	9.921184e+02	1.256764e+01	1.580000e-03	1.262985e+01	3.840000e-02	1.268998e+01	1.250000e-03	1.744356e+01	2.755626e-12	1.751854e+01	2.175652e-14	1.759252e+01	1.179908e-11	1.777447e+01	4.639420e-10	1.784845e+01	1.010078e-10	1.792342e+01	6.990015e-12	1.799740e+01	4.849128e-13	6.13415758357587	1.0	1.0	0.024991941	0.004957047917371366	1.0	1.0	0.0	2.0	3.1480688e-06	0.0	1.0	42.0	0.024935298	1.2388625e-07	0.0
