lead_in_multiplier	Lead in multiplier	C2M18	int	1
dwell_time	Dwell time [ms]	C2M18	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C2M18	string	H2O
subscribe	Whether to send events out on the web API for this channel	C2M18	bool	true
color	color	C2M18	int	12369186
mass	Measurement mass	C3M28	double	28.0
lead_in_multiplier	Lead in multiplier	C3M28	int	4
dwell_time	Dwell time [ms]	C3M28	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C3M28	string	CO/N2
subscribe	Whether to send events out on the web API for this channel	C3M28	bool	true
color	color	C3M28	int	8355711
mass	Measurement mass	C4M32	double	32.0
lead_in_multiplier	Lead in multiplier	C4M32	int	1
dwell_time	Dwell time [ms]	C4M32	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C4M32	string	O2
subscribe	Whether to send events out on the web API for this channel	C4M32	bool	true
color	color	C4M32	int	0
mass	Measurement mass	C5M40	double	40.0
lead_in_multiplier	Lead in multiplier	C5M40	int	1
dwell_time	Dwell time [ms]	C5M40	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C5M40	string	Ar
subscribe	Whether to send events out on the web API for this channel	C5M40	bool	true
color	color	C5M40	int	1556175
mass	Measurement mass	C6M44	double	44.0
lead_in_multiplier	Lead in multiplier	C6M44	int	1
dwell_time	Dwell time [ms]	C6M44	int	32
label_suffix	Label suffix (added to the mass to form the full label)	C6M44	string	CO2
subscribe	Whether to send events out on the web API for this channel	C6M44	bool	true
color	color	C6M44	int	14034728
data_dir	Data directory		string	C:\Users\Spectro Inlets\Spectro Inlets Dropbox\03 LGA\In-line MS\Chip testing on EC-MS setup
project_name	Project name		string	failing_datasets
measurement_name	Measurement name		string	ec-included-mpt-missing
comment	Comment		string	Normal EC-MS chip
ms_scan_interval	Mass spec scan interval [ms]		int	0
ms_lead_in_base	Mass spec lead in base [ms]		int	32
start_time_unix	Start time as UNIX time stamp		double	1705500829.614609
start_timestamp	Start time in ISO 8601 format		string	2024-01-17 15:13:49.614609
offset	The offset (time - EC-Lab time)	pot_01	double	9.326230e+00
offset_meas_time	Offset measurement time [s]	pot_01	double	3.058147e-02
Iongauge value_count	Number of points in the "Iongauge value" data series	Iongauge value	int	191
Pirani1 value_count	Number of points in the "Pirani1 value" data series	Pirani1 value	int	191
Pirani2 value_count	Number of points in the "Pirani2 value" data series	Pirani2 value	int	191
Pirani3 value_count	Number of points in the "Pirani3 value" data series	Pirani3 value	int	191
MFC1 value_count	Number of points in the "MFC1 value" data series	MFC1 value	int	191
MFC1 setpoint_count	Number of points in the "MFC1 setpoint" data series	MFC1 setpoint	int	191
MFC2 value_count	Number of points in the "MFC2 value" data series	MFC2 value	int	191
MFC2 setpoint_count	Number of points in the "MFC2 setpoint" data series	MFC2 setpoint	int	191
PC value_count	Number of points in the "PC value" data series	PC value	int	191
PC setpoint_count	Number of points in the "PC setpoint" data series	PC setpoint	int	191
C0M2_count	Number of points in the "C0M2" data series	C0M2	int	140
C1M4_count	Number of points in the "C1M4" data series	C1M4	int	140
C2M18_count	Number of points in the "C2M18" data series	C2M18	int	140
C3M28_count	Number of points in the "C3M28" data series	C3M28	int	140
C4M32_count	Number of points in the "C4M32" data series	C4M32	int	140
C5M40_count	Number of points in the "C5M40" data series	C5M40	int	140
C6M44_count	Number of points in the "C6M44" data series	C6M44	int	140
pot_count	Number of points in the "pot" data series	pot	int	544
EC-lab_count	Number of points in the "EC-lab" data series	EC-lab	int	0
pot				Iongauge value		MFC1 setpoint		MFC1 value		MFC2 setpoint		MFC2 value		PC setpoint		PC value		Pirani1 value		Pirani2 value		Pirani3 value		C0M2		C1M4		C2M18		C3M28		C4M32		C5M40		C6M44		EC-lab
Time [s]	Voltage [V]	Current [mA]	Cycle [n]	Time [s]	Pressure [mbar]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Flow [ml/min]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	Pressure [mbar]	Time [s]	M2-H2 [A]	Time [s]	M4-He [A]	Time [s]	M18-H2O [A]	Time [s]	M28-CO/N2 [A]	Time [s]	M32-O2 [A]	Time [s]	M40-Ar [A]	Time [s]	M44-CO2 [A]
1.008703e+01	4.002545e-01	7.877544e-02	1	5.913329e-01	4.430000e-06	7.787750e-01	0.000000e+00	7.787750e-01	-2.900000e-02	8.249910e-01	0.000000e+00	8.249910e-01	-1.900000e-02	8.717229e-01	1.040000e+03	8.717229e-01	9.921051e+02	6.387768e-01	1.620000e-03	6.861637e-01	2.350000e-02	7.328382e-01	1.280000e-03	7.116494e-01	3.577635e-12	7.866508e-01	2.421891e-15	8.606521e-01	2.517514e-11	1.042655e+00	4.675656e-10	1.117657e+00	1.016144e-10	1.191658e+00	7.047954e-12	1.266659e+00	5.308639e-13	
1.023903e+01	4.004341e-01	7.877544e-02	1	1.059608e+00	4.430000e-06	1.260617e+00	0.000000e+00	1.260617e+00	-2.900000e-02	1.307710e+00	0.000000e+00	1.307710e+00	-1.900000e-02	1.353982e+00	1.040000e+03	1.353982e+00	9.921051e+02	1.121738e+00	1.620000e-03	1.167624e+00	2.350000e-02	1.213584e+00	1.280000e-03	1.381697e+00	3.570066e-12	1.456700e+00	7.042924e-16	1.530704e+00	2.501838e-11	1.712712e+00	4.643431e-10	1.786716e+00	1.018591e-10	1.861719e+00	7.062805e-12	1.935723e+00	5.395755e-13	
9.395430e+00	4.003501e-01	7.874910e-02	1	1.541246e+00	4.430000e-06	1.729173e+00	0.000000e+00	1.729173e+00	-2.900000e-02	1.776406e+00	0.000000e+00	1.776406e+00	-1.900000e-02	1.824021e+00	1.040000e+03	1.824021e+00	9.921051e+02	1.587764e+00	1.620000e-03	1.634818e+00	2.350000e-02	1.681721e+00	1.280000e-03	2.052129e+00	3.588473e-12	2.127148e+00	9.679464e-15	2.201167e+00	2.499341e-11	2.383214e+00	4.665507e-10	2.457232e+00	1.008088e-10	2.532252e+00	7.051129e-12	2.606271e+00	5.271704e-13	
9.553830e+00	4.003883e-01	7.879490e-02	1	2.010349e+00	4.430000e-06	2.199197e+00	0.000000e+00	2.199197e+00	-2.900000e-02	2.230887e+00	0.000000e+00	2.230887e+00	-1.900000e-02	2.278033e+00	1.040000e+03	2.278033e+00	9.921051e+02	2.058296e+00	1.620000e-03	2.104882e+00	2.360000e-02	2.152177e+00	1.280000e-03	2.722300e+00	3.561314e-12	2.796319e+00	1.096736e-14	2.871338e+00	2.497938e-11	3.052385e+00	4.648419e-10	3.127404e+00	1.022269e-10	3.201423e+00	7.056467e-12	3.276442e+00	5.368175e-13	
9.724230e+00	4.003577e-01	7.877620e-02	1	2.464033e+00	4.430000e-06	2.652874e+00	0.000000e+00	2.652874e+00	-2.900000e-02	2.699331e+00	0.000000e+00	2.699331e+00	-1.900000e-02	2.746076e+00	1.040000e+03	2.746076e+00	9.921051e+02	2.511490e+00	1.620000e-03	2.558714e+00	2.360000e-02	2.605085e+00	1.280000e-03	3.391433e+00	3.568057e-12	3.465428e+00	6.702725e-16	3.540423e+00	2.491924e-11	3.721412e+00	4.660781e-10	3.796407e+00	1.018348e-10	3.870402e+00	7.075847e-12	3.945397e+00	5.476916e-13	
9.911630e+00	4.003271e-01	7.873689e-02	1	2.920151e+00	4.430000e-06	3.139841e+00	0.000000e+00	3.139841e+00	-2.900000e-02	3.185704e+00	0.000000e+00	3.185704e+00	-1.900000e-02	3.232752e+00	1.040000e+03	3.232752e+00	9.921051e+02	2.966857e+00	1.620000e-03	3.029881e+00	2.360000e-02	3.092876e+00	1.280000e-03	4.060511e+00	3.545863e-12	4.135509e+00	1.289920e-14	4.209506e+00	2.485449e-11	4.391500e+00	4.646474e-10	4.466498e+00	1.014153e-10	4.540496e+00	7.006948e-12	4.615493e+00	5.281221e-13	
1.006903e+01	4.003348e-01	7.877315e-02	1	3.418511e+00	4.430000e-06	3.619590e+00	0.000000e+00	3.619590e+00	-2.900000e-02	3.666646e+00	0.000000e+00	3.666646e+00	-1.900000e-02	3.713724e+00	1.040000e+03	3.713724e+00	9.921051e+02	3.465239e+00	1.620000e-03	3.511474e+00	2.360000e-02	3.572748e+00	1.280000e-03	4.730489e+00	3.559107e-12	4.805487e+00	3.811036e-16	4.879484e+00	2.492087e-11	5.061479e+00	4.678113e-10	5.135476e+00	1.018695e-10	5.210474e+00	7.029863e-12	5.284471e+00	5.451077e-13	
1.022523e+01	4.003921e-01	7.876933e-02	1	3.900518e+00	4.430000e-06	4.087270e+00	0.000000e+00	4.087270e+00	-2.900000e-02	4.150785e+00	0.000000e+00	4.150785e+00	-1.900000e-02	4.196583e+00	1.040000e+03	4.196583e+00	9.921051e+02	3.947984e+00	1.620000e-03	3.994035e+00	2.360000e-02	4.040752e+00	1.280000e-03	5.400893e+00	3.575995e-12	5.475897e+00	6.362525e-16	5.549900e+00	2.493845e-11	5.731909e+00	4.648074e-10	5.805913e+00	1.009352e-10	5.880916e+00	7.061234e-12	5.954920e+00	5.323503e-13	
1.038303e+01	4.002469e-01	7.874948e-02	1	4.385028e+00	4.430000e-06	4.571783e+00	0.000000e+00	4.571783e+00	-2.900000e-02	4.618129e+00	0.000000e+00	4.618129e+00	-2.000000e-02	4.664350e+00	1.040000e+03	4.664350e+00	9.921051e+02	4.431251e+00	1.620000e-03	4.478469e+00	2.360000e-02	4.524069e+00	1.280000e-03	6.070303e+00	3.545948e-12	6.144299e+00	1.084586e-14	6.219295e+00	2.478642e-11	6.400284e+00	4.659714e-10	6.475280e+00	1.022279e-10	6.549276e+00	7.063895e-12	6.624272e+00	5.430139e-13	
1.055603e+01	4.003997e-01	7.876208e-02	1	4.853572e+00	4.430000e-06	5.088456e+00	0.000000e+00	5.088456e+00	-2.900000e-02	5.135909e+00	0.000000e+00	5.135909e+00	-1.900000e-02	5.181168e+00	1.040000e+03	5.181168e+00	9.921051e+02	4.917252e+00	1.620000e-03	4.979894e+00	2.370000e-02	5.042358e+00	1.280000e-03	6.740265e+00	3.540295e-12	6.814261e+00	1.595696e-15	6.889257e+00	2.471327e-11	7.070246e+00	4.638827e-10	7.145242e+00	1.018807e-10	7.219238e+00	7.080516e-12	7.294234e+00	5.301997e-13	
1.072783e+01	4.003310e-01	7.876246e-02	1	5.352478e+00	4.430000e-06	5.554923e+00	0.000000e+00	5.554923e+00	-2.900000e-02	5.601805e+00	0.000000e+00	5.601805e+00	-1.900000e-02	5.648803e+00	1.040000e+03	5.648803e+00	9.920384e+02	5.399346e+00	1.620000e-03	5.446123e+00	2.370000e-02	5.508049e+00	1.280000e-03	7.408939e+00	3.550395e-12	7.483932e+00	1.492015e-14	7.557925e+00	2.472832e-11	7.739907e+00	4.663266e-10	7.814900e+00	1.017495e-10	7.888893e+00	7.068293e-12	7.963886e+00	5.325731e-13	
1.088483e+01	4.004571e-01	7.876093e-02	1	5.834987e+00	4.430000e-06	6.023972e+00	0.000000e+00	6.023972e+00	-2.900000e-02	6.072036e+00	0.000000e+00	6.072036e+00	-1.900000e-02	6.119774e+00	1.040000e+03	6.119774e+00	9.921317e+02	5.882225e+00	1.620000e-03	5.929557e+00	2.370000e-02	5.976994e+00	1.280000e-03	8.079401e+00	3.552234e-12	8.154399e+00	2.338461e-14	8.228397e+00	2.470540e-11	8.410391e+00	4.666162e-10	8.484389e+00	1.019256e-10	8.559387e+00	7.027591e-12	8.633384e+00	5.340068e-13	
1.104043e+01	4.003768e-01	7.876551e-02	1	6.304961e+00	4.430000e-06	6.495186e+00	0.000000e+00	6.495186e+00	-2.900000e-02	6.541860e+00	0.000000e+00	6.541860e+00	-1.900000e-02	6.588413e+00	1.040000e+03	6.588413e+00	9.921184e+02	6.352944e+00	1.620000e-03	6.399692e+00	2.370000e-02	6.447152e+00	1.280000e-03	8.748965e+00	3.546778e-12	8.823959e+00	1.713144e-15	8.897953e+00	2.470335e-11	9.079939e+00	4.668061e-10	9.153933e+00	1.022067e-10	9.228927e+00	7.061598e-12	9.302921e+00	5.285676e-13	
1.119743e+01	4.003386e-01	7.875329e-02	1	6.777946e+00	4.430000e-06	6.949393e+00	0.000000e+00	6.949393e+00	-2.900000e-02	6.995917e+00	0.000000e+00	6.995917e+00	-1.900000e-02	7.043534e+00	1.040000e+03	7.043534e+00	9.921051e+02	6.824994e+00	1.620000e-03	6.871957e+00	2.370000e-02	6.917932e+00	1.280000e-03	9.418912e+00	3.524738e-12	9.492907e+00	1.276960e-14	9.567901e+00	2.457536e-11	9.748887e+00	4.663667e-10	9.823881e+00	1.022764e-10	9.897875e+00	7.100275e-12	9.972869e+00	5.357037e-13	
1.135503e+01	4.003080e-01	7.875559e-02	1	7.230732e+00	4.430000e-06	7.418145e+00	0.000000e+00	7.418145e+00	-2.900000e-02	7.465034e+00	0.000000e+00	7.465034e+00	-1.900000e-02	7.511982e+00	1.040000e+03	7.511982e+00	9.921051e+02	7.277305e+00	1.620000e-03	7.324095e+00	2.370000e-02	7.371159e+00	1.280000e-03	1.008845e+01	3.537427e-12	1.016244e+01	9.647067e-15	1.023743e+01	2.447226e-11	1.041841e+01	4.641949e-10	1.049340e+01	1.013752e-10	1.056739e+01	7.065790e-12	1.064239e+01	5.398387e-13	
1.154263e+01	4.002966e-01	7.876819e-02	1	7.699625e+00	4.430000e-06	7.902884e+00	0.000000e+00	7.902884e+00	-2.900000e-02	7.949994e+00	0.000000e+00	7.949994e+00	-1.900000e-02	7.996084e+00	1.040000e+03	7.996084e+00	9.921051e+02	7.760956e+00	1.620000e-03	7.807902e+00	2.380000e-02	7.856305e+00	1.280000e-03	1.075798e+01	3.544389e-12	1.083298e+01	7.731423e-15	1.090697e+01	2.446149e-11	1.108896e+01	4.635647e-10	1.116396e+01	1.011500e-10	1.123795e+01	7.038457e-12	1.131295e+01	5.594690e-13	
1.169963e+01	4.003310e-01	7.877238e-02	1	8.183898e+00	4.430000e-06	8.357280e+00	0.000000e+00	8.357280e+00	-2.900000e-02	8.404113e+00	0.000000e+00	8.404113e+00	-1.900000e-02	8.452397e+00	1.040000e+03	8.452397e+00	9.921051e+02	8.231159e+00	1.620000e-03	8.278341e+00	2.380000e-02	8.325077e+00	1.280000e-03	1.142791e+01	3.532000e-12	1.150291e+01	1.314625e-14	1.157690e+01	2.438513e-11	1.175889e+01	4.657073e-10	1.183289e+01	1.010122e-10	1.190788e+01	7.060574e-12	1.198188e+01	5.390611e-13	
1.185523e+01	4.003004e-01	7.875483e-02	1	8.642702e+00	4.430000e-06	8.830813e+00	0.000000e+00	8.830813e+00	-2.900000e-02	8.877382e+00	0.000000e+00	8.877382e+00	-1.900000e-02	8.924028e+00	1.040000e+03	8.924028e+00	9.921584e+02	8.689670e+00	1.620000e-03	8.736317e+00	2.380000e-02	8.783089e+00	1.280000e-03	1.209787e+01	3.526970e-12	1.217286e+01	1.571396e-15	1.224686e+01	2.438439e-11	1.242885e+01	4.645158e-10	1.250284e+01	1.021865e-10	1.257784e+01	7.043864e-12	1.265183e+01	5.357482e-13	
1.201103e+01	4.003271e-01	7.873765e-02	1	9.129852e+00	4.430000e-06	9.320343e+00	0.000000e+00	9.320343e+00	-2.900000e-02	9.368317e+00	0.000000e+00	9.368317e+00	-1.900000e-02	9.414666e+00	1.040000e+03	9.414666e+00	9.921184e+02	9.176727e+00	1.620000e-03	9.224599e+00	2.380000e-02	9.272499e+00	1.280000e-03	1.276809e+01	3.540586e-12	1.284209e+01	8.448269e-15	1.291708e+01	2.444873e-11	1.309807e+01	4.640070e-10	1.317307e+01	1.016395e-10	1.324707e+01	7.079981e-12	1.332206e+01	5.442127e-13	
1.216683e+01	4.003271e-01	7.876284e-02	1	9.602812e+00	4.420000e-06	9.806208e+00	0.000000e+00	9.806208e+00	-2.900000e-02	9.852956e+00	0.000000e+00	9.852956e+00	-2.000000e-02	9.900139e+00	1.040000e+03	9.900139e+00	9.921317e+02	9.650331e+00	1.620000e-03	9.712128e+00	2.380000e-02	9.759921e+00	1.280000e-03	1.343771e+01	3.517809e-12	1.351170e+01	3.426287e-16	1.358670e+01	2.432412e-11	1.376768e+01	4.658618e-10	1.384268e+01	1.016197e-10	1.391667e+01	7.049460e-12	1.399167e+01	5.403085e-13	
1.232103e+01	4.004456e-01	7.874261e-02	1	1.006962e+01	4.430000e-06	1.027270e+01	0.000000e+00	1.027270e+01	-2.900000e-02	1.031933e+01	0.000000e+00	1.031933e+01	-1.900000e-02	1.036673e+01	1.040000e+03	1.036673e+01	9.921584e+02	1.011693e+01	1.620000e-03	1.017837e+01	2.380000e-02	1.022621e+01	1.280000e-03	1.410666e+01	3.528359e-12	1.418165e+01	1.332445e-16	1.425565e+01	2.438085e-11	1.443764e+01	4.649968e-10	1.451263e+01	1.017866e-10	1.458663e+01	7.061193e-12	1.466162e+01	5.374451e-13	
1.246803e+01	4.003310e-01	7.876780e-02	1	1.055579e+01	4.430000e-06	1.074100e+01	0.000000e+00	1.074100e+01	-2.900000e-02	1.077229e+01	0.000000e+00	1.077229e+01	-1.900000e-02	1.081883e+01	1.040000e+03	1.081883e+01	9.921051e+02	1.060363e+01	1.620000e-03	1.064928e+01	2.390000e-02	1.069482e+01	1.280000e-03	1.477690e+01	3.538626e-12	1.485189e+01	8.180983e-16	1.492589e+01	2.432702e-11	1.510788e+01	4.675696e-10	1.518188e+01	1.017978e-10	1.525687e+01	7.016332e-12	1.533087e+01	5.484085e-13	
1.261583e+01	4.004380e-01	7.879376e-02	1	1.100789e+01	4.430000e-06	1.119677e+01	0.000000e+00	1.119677e+01	-2.900000e-02	1.124401e+01	0.000000e+00	1.124401e+01	-1.900000e-02	1.129088e+01	1.040000e+03	1.129088e+01	9.921051e+02	1.105573e+01	1.620000e-03	1.110261e+01	2.390000e-02	1.114967e+01	1.280000e-03	1.544671e+01	3.535212e-12	1.552170e+01	1.776729e-14	1.559570e+01	2.431024e-11	1.577769e+01	4.640342e-10	1.585168e+01	1.019789e-10	1.592668e+01	7.044038e-12	1.600067e+01	5.362950e-13	
1.279943e+01	4.003654e-01	7.876016e-02	1	1.147978e+01	4.420000e-06	1.166838e+01	0.000000e+00	1.166838e+01	-2.900000e-02	1.171510e+01	0.000000e+00	1.171510e+01	-1.900000e-02	1.176107e+01	1.040000e+03	1.176107e+01	9.921317e+02	1.152777e+01	1.620000e-03	1.157417e+01	2.390000e-02	1.162130e+01	1.280000e-03	1.611723e+01	3.520996e-12	1.619123e+01	1.192721e-14	1.626623e+01	2.423510e-11	1.644722e+01	4.657269e-10	1.652222e+01	1.024238e-10	1.659622e+01	7.058075e-12	1.667122e+01	5.408876e-13	
1.296023e+01	4.003539e-01	7.874872e-02	1	1.194943e+01	4.420000e-06	1.213620e+01	0.000000e+00	1.213620e+01	-2.900000e-02	1.218419e+01	0.000000e+00	1.218419e+01	-1.900000e-02	1.223185e+01	1.040000e+03	1.223185e+01	9.921184e+02	1.199592e+01	1.620000e-03	1.204266e+01	2.390000e-02	1.208999e+01	1.280000e-03	1.678721e+01	3.519376e-12	1.686121e+01	1.105241e-14	1.693621e+01	2.416168e-11	1.711721e+01	4.697761e-10	1.719220e+01	1.020732e-10	1.726620e+01	7.077968e-12	1.734120e+01	5.379393e-13	
1.310463e+01	4.003768e-01	7.876665e-02	1	1.240564e+01	4.420000e-06	1.260733e+01	0.000000e+00	1.260733e+01	-2.900000e-02	1.265492e+01	0.000000e+00	1.265492e+01	-1.900000e-02	1.270240e+01	1.040000e+03	1.270240e+01	9.921184e+02	1.246678e+01	1.620000e-03	1.251414e+01	2.390000e-02	1.256056e+01	1.280000e-03	1.745544e+01	3.509369e-12	1.753043e+01	1.870283e-14	1.760443e+01	2.423032e-11	1.778642e+01	4.671573e-10	1.786141e+01	1.017485e-10	1.793541e+01	7.077487e-12	1.801040e+01	5.417989e-13	
1.325803e+01	4.003997e-01	7.876322e-02	1	1.288840e+01	4.420000e-06	1.309076e+01	0.000000e+00	1.309076e+01	-2.900000e-02	1.313835e+01	0.000000e+00	1.313835e+01	-1.900000e-02	1.318382e+01	1.040000e+03	1.318382e+01	9.921317e+02	1.293503e+01	1.620000e-03	1.298312e+01	2.390000e-02	1.302875e+01	1.280000e-03	1.812566e+01	3.527861e-12	1.820066e+01	1.279797e-15	1.827465e+01	2.410930e-11	1.845664e+01	4.666014e-10	1.853064e+01	1.020433e-10	1.860563e+01	7.084461e-12	1.867963e+01	5.475094e-13	
1.344623e+01	4.003348e-01	7.876436e-02	1	1.337077e+01	4.420000e-06	1.355626e+01	0.000000e+00	1.355626e+01	-2.900000e-02	1.358824e+01	0.000000e+00	1.358824e+01	-2.000000e-02	1.363401e+01	1.040000e+03	1.363401e+01	9.921184e+02	1.341716e+01	1.620000e-03	1.346366e+01	2.400000e-02	1.351033e+01	1.280000e-03	1.879562e+01	3.509903e-12	1.887062e+01	6.083081e-15	1.894462e+01	2.396115e-11	1.912661e+01	4.628908e-10	1.920060e+01	1.018502e-10	1.927560e+01	7.041572e-12	1.934959e+01	5.357563e-13	
1.359243e+01	4.004456e-01	7.877238e-02	1	1.382207e+01	4.420000e-06	1.400954e+01	0.000000e+00	1.400954e+01	-2.900000e-02	1.405686e+01	0.000000e+00	1.405686e+01	-2.000000e-02	1.410417e+01	1.040000e+03	1.410417e+01	9.920117e+02	1.386997e+01	1.620000e-03	1.391644e+01	2.400000e-02	1.396346e+01	1.280000e-03	1.946573e+01	3.507737e-12	1.953973e+01	7.771925e-15	1.961472e+01	2.403151e-11	1.979571e+01	4.652404e-10	1.987071e+01	1.017294e-10	1.994471e+01	7.045529e-12	2.001970e+01	5.336868e-13	
1.371703e+01	4.002622e-01	7.876513e-02	1	1.427717e+01	4.420000e-06	1.449675e+01	0.000000e+00	1.449675e+01	-2.900000e-02	1.454367e+01	0.000000e+00	1.454367e+01	-1.900000e-02	1.458991e+01	1.040000e+03	1.458991e+01	9.920651e+02	1.432422e+01	1.620000e-03	1.438635e+01	2.400000e-02	1.444887e+01	1.280000e-03	2.013505e+01	3.496749e-12	2.020905e+01	7.832675e-15	2.028404e+01	2.396008e-11	2.046503e+01	4.661286e-10	2.054002e+01	1.015171e-10	2.061401e+01	7.041086e-12	2.068901e+01	5.265223e-13	
1.387203e+01	4.004150e-01	7.876360e-02	1	1.478007e+01	4.420000e-06	1.496809e+01	0.000000e+00	1.496809e+01	-2.900000e-02	1.501508e+01	0.000000e+00	1.501508e+01	-1.900000e-02	1.506318e+01	1.040000e+03	1.506318e+01	9.920917e+02	1.482805e+01	1.620000e-03	1.487515e+01	2.400000e-02	1.492104e+01	1.280000e-03	2.080400e+01	3.497138e-12	2.087899e+01	7.281875e-15	2.095299e+01	2.396424e-11	2.113497e+01	4.664246e-10	2.120997e+01	1.012510e-10	2.128396e+01	7.058451e-12	2.135895e+01	5.291143e-13	
1.402843e+01	4.004150e-01	7.878116e-02	1	1.523520e+01	4.420000e-06	1.545488e+01	0.000000e+00	1.545488e+01	-2.900000e-02	1.550163e+01	0.000000e+00	1.550163e+01	-2.000000e-02	1.554894e+01	1.040000e+03	1.554894e+01	9.920517e+02	1.529853e+01	1.620000e-03	1.535967e+01	2.400000e-02	1.540705e+01	1.280000e-03	2.147426e+01	3.484008e-12	2.154925e+01	1.009257e-14	2.162325e+01	2.390666e-11	2.180524e+01	4.659183e-10	2.187923e+01	1.007676e-10	2.195423e+01	7.048902e-12	2.202822e+01	5.237927e-13	
1.415683e+01	4.003386e-01	7.876475e-02	1	1.573845e+01	4.420000e-06	1.592542e+01	0.000000e+00	1.592542e+01	-2.900000e-02	1.597214e+01	0.000000e+00	1.597214e+01	-2.000000e-02	1.603458e+01	1.040000e+03	1.603458e+01	9.920384e+02	1.578514e+01	1.620000e-03	1.583183e+01	2.400000e-02	1.587971e+01	1.280000e-03	2.214046e+01	3.485089e-12	2.221544e+01	7.658525e-15	2.228942e+01	2.392734e-11	2.247138e+01	4.631964e-10	2.254536e+01	1.021588e-10	2.262034e+01	7.069439e-12	2.269433e+01	5.431313e-13	
1.432703e+01	4.003424e-01	7.878193e-02	1	1.623612e+01	4.420000e-06	1.642270e+01	0.000000e+00	1.642270e+01	-2.900000e-02	1.647020e+01	0.000000e+00	1.647020e+01	-1.900000e-02	1.651685e+01	1.040000e+03	1.651685e+01	9.920784e+02	1.628253e+01	1.620000e-03	1.632902e+01	2.410000e-02	1.637638e+01	1.280000e-03	2.281479e+01	3.496129e-12	2.288879e+01	1.273721e-14	2.296379e+01	2.383825e-11	2.314478e+01	4.680312e-10	2.321978e+01	1.021247e-10	2.329378e+01	7.026842e-12	2.336877e+01	5.454885e-13	
